influencer_id,Number of subscribers,followers,average_likes,average_comments,average_shares,primary_platform,Targeted_audience_age,Targetaudience_gender,past_campaign_success,product_category,budget_per_video,engagement_rate,follower_growth_rate,pat_campaign_success_rate,Geographical location: state of India,campaign duration,score
197,764224,41296,13957,344,3114,Facebook,5 to 15,Male,1.6,Cosmetics,98426,4.1,7.2,4.4,Punjab,2 months,4.1
198,374941,73240,26469,4125,3112,Facebook,35 to 45,Others,9.3,Clothing,87111,4.3,3.4,8.4,Rajasthan,1 year,5.8
199,847025,15750,4445,3297,54,Facebook,15 to 25,Male,8.7,Cosmetics,87026,7.7,8.2,2.1,Sikkim,6 months,5.9
200,247777,295975,18279,3826,1261,YouTube,25 to 35,Others,1.3,Clothing,84487,7.7,6.9,9.7,Rajasthan,1 year,5.2
201,474894,424022,18306,6876,4813,Facebook,5 to 15,Female,4.9,Clothing,112508,8.3,4.0,3.1,Maharashtra,1 month,4.1
202,122335,93855,39612,4707,4279,YouTube,5 to 15,Others,3.4,Accessories,65388,3.4,9.9,3.7,Sikkim,1 year,4.9
203,827963,417629,38508,5288,3169,YouTube,35 to 45,Male,4.6,Cosmetics,101824,8.8,8.6,1.8,Punjab,2 years,4.9
204,161468,460805,41824,2792,924,YouTube,5 to 15,Others,7.4,Clothing,71454,9.1,3.2,6.8,Kerala,1 year,5.5
205,192554,308045,26744,1448,3039,YouTube,5 to 15,Female,2.4,Cosmetics,135795,8.4,2.5,7.7,Tamil Nadu,2 months,4.4
206,384308,145410,13326,3396,1938,Instagram,25 to 35,Female,4.8,Accessories,142114,8.0,7.5,8.3,Gujarat,6 months,5.9
207,140787,26324,36674,1629,586,Facebook,25 to 35,Others,5.0,Clothing,53777,2.3,8.3,8.8,Rajasthan,1 month,7.7
208,740396,419418,28039,2160,557,Instagram,25 to 35,Female,5.1,Clothing,69250,5.6,6.5,6.2,Kerala,2 months,4.8
209,489905,469675,5377,6927,1876,Facebook,5 to 15,Male,2.4,Clothing,118164,7.3,7.7,3.1,Gujarat,6 months,4.1
210,513928,437781,11339,5171,4464,Facebook,25 to 35,Male,3.3,Clothing,87861,2.2,6.5,1.7,Punjab,1 month,2.8
211,471535,120438,28598,3574,4930,YouTube,35 to 45,Male,1.6,Clothing,79936,5.5,5.6,5.8,Rajasthan,3 months,4.2
212,608273,169023,6600,2312,2069,Facebook,15 to 25,Others,3.6,Accessories,81830,10.0,2.6,5.8,Maharashtra,1 month,4.5
213,292246,36482,1733,9082,3079,YouTube,25 to 35,Male,5.3,Clothing,66795,8.0,2.2,7.0,Punjab,6 months,4.6
214,65624,383964,34976,766,4185,Instagram,15 to 25,Male,6.8,Accessories,133554,6.4,1.7,1.4,Maharashtra,3 months,3.4
215,163563,20457,27468,1823,3246,Instagram,35 to 45,Male,6.7,Cosmetics,124601,1.2,2.6,9.0,Tamil Nadu,1 month,6.6
216,944824,293731,5023,2453,1187,Instagram,35 to 45,Male,1.6,Accessories,127983,1.1,6.1,5.9,Maharashtra,3 months,3.0
217,736255,329639,44518,9589,1544,Instagram,5 to 15,Female,9.3,Accessories,111455,2.8,9.3,9.9,Punjab,2 years,6.5
218,99935,15907,8684,7815,3416,Instagram,15 to 25,Others,6.2,Clothing,132918,7.8,3.5,6.8,Sikkim,6 months,6.0
219,558577,321483,28719,3312,3981,YouTube,5 to 15,Male,9.8,Clothing,51533,8.1,6.4,7.6,Rajasthan,2 months,6.6
220,964017,75182,36050,5816,1178,Facebook,15 to 25,Others,8.9,Clothing,66454,1.5,9.9,3.7,Tamil Nadu,3 months,5.8
221,181621,54301,18790,2695,1504,Facebook,35 to 45,Male,6.7,Clothing,75836,8.3,1.4,7.1,Maharashtra,2 years,5.4
222,472396,235809,19207,4533,4693,Facebook,15 to 25,Female,3.1,Accessories,66648,5.0,5.3,8.1,Sikkim,2 months,4.5
223,385944,211158,44018,9071,4675,YouTube,5 to 15,Female,8.0,Cosmetics,146561,4.0,9.9,7.5,Gujarat,6 months,6.3
224,535161,480826,24073,8797,1808,YouTube,25 to 35,Others,8.0,Clothing,99906,9.9,6.9,5.1,Sikkim,3 months,6.1
225,700348,224757,7817,9552,4962,Instagram,35 to 45,Female,7.1,Accessories,89142,9.4,5.5,8.2,Gujarat,1 year,6.1
226,249225,217065,36101,9422,2655,Facebook,15 to 25,Male,3.6,Clothing,121204,4.3,9.3,9.1,Kerala,3 months,5.6
227,100899,423627,29727,1746,3697,Facebook,25 to 35,Others,6.1,Clothing,104371,3.4,1.6,9.1,Kerala,6 months,4.2
228,383915,223889,20739,1528,1814,Instagram,35 to 45,Female,5.4,Clothing,60171,6.9,9.8,9.5,Gujarat,6 months,6.5
229,869362,207913,21058,1062,94,Instagram,15 to 25,Male,3.4,Accessories,110248,5.1,6.6,4.5,Sikkim,3 months,4.1
230,828982,426967,22444,5790,4162,Facebook,15 to 25,Male,8.8,Clothing,73356,3.6,8.1,5.7,Gujarat,2 years,5.3
231,85833,198485,37810,7487,2416,YouTube,15 to 25,Male,5.4,Accessories,102761,1.8,5.8,4.5,Maharashtra,6 months,3.9
232,448985,470600,41985,3747,2886,Instagram,5 to 15,Male,5.0,Accessories,113801,9.3,6.6,2.4,Kerala,1 year,4.8
233,817193,72148,32265,2360,4202,YouTube,25 to 35,Male,2.7,Accessories,72866,8.1,6.2,2.0,Punjab,6 months,4.7
234,908834,253862,10643,3620,453,YouTube,35 to 45,Male,4.4,Cosmetics,99480,5.1,3.4,5.6,Rajasthan,2 years,3.8
235,393919,279254,35804,2921,3169,Facebook,25 to 35,Male,8.3,Clothing,131960,9.2,6.7,3.7,Kerala,3 months,5.8
236,184712,69226,20112,480,3065,Facebook,15 to 25,Female,6.9,Clothing,60238,2.9,6.2,4.8,Gujarat,2 years,4.7
237,359666,41359,40092,3330,2460,YouTube,15 to 25,Male,9.5,Accessories,131061,8.3,1.7,1.8,Rajasthan,2 years,6.2
238,540184,363877,19323,2861,4710,YouTube,15 to 25,Others,9.7,Clothing,146931,3.7,7.2,9.5,Sikkim,3 months,6.1
239,353205,450824,28702,9135,2770,YouTube,5 to 15,Others,6.7,Clothing,145282,2.1,4.9,1.3,Punjab,1 month,3.1
240,608621,340812,14661,690,1987,YouTube,15 to 25,Male,6.4,Cosmetics,65375,9.9,3.3,2.9,Kerala,2 years,4.6
241,591919,311293,38231,169,2388,Facebook,5 to 15,Others,7.4,Accessories,91168,6.5,3.1,5.8,Sikkim,2 months,4.8
242,777863,383001,36068,4984,709,Instagram,5 to 15,Others,2.3,Accessories,66945,3.5,4.4,6.9,Maharashtra,6 months,3.6
243,69663,269156,9500,761,4178,Facebook,25 to 35,Others,7.2,Accessories,121456,4.3,5.8,7.8,Punjab,1 year,5.1
244,426219,290633,4081,5244,3878,Instagram,25 to 35,Male,5.2,Clothing,71355,7.0,6.2,4.3,Sikkim,1 month,4.6
245,980737,418165,23776,7969,2781,Instagram,5 to 15,Female,6.5,Clothing,96499,6.6,2.5,3.8,Gujarat,1 month,4.0
246,938713,11534,8451,931,4288,Facebook,35 to 45,Female,2.3,Clothing,83255,8.9,2.7,4.4,Sikkim,1 month,5.1
247,502418,472198,22441,6826,1296,Instagram,35 to 45,Male,9.9,Clothing,127140,4.7,2.2,4.9,Sikkim,6 months,4.4
248,561924,169446,36849,4397,406,Instagram,15 to 25,Female,1.6,Clothing,56863,6.4,8.4,2.0,Gujarat,2 years,4.1
249,182063,104896,20910,5536,4957,Instagram,25 to 35,Female,7.8,Accessories,106118,4.1,5.7,2.4,Punjab,2 years,4.4
250,66343,223353,32083,8080,2072,YouTube,25 to 35,Female,2.5,Accessories,130297,1.6,4.1,9.1,Gujarat,1 month,3.7
251,413134,172187,46374,7670,3205,Instagram,25 to 35,Female,1.1,Clothing,141514,3.6,5.7,8.0,Kerala,2 years,4.2
252,532012,123146,17534,6641,4322,Facebook,25 to 35,Male,4.1,Accessories,106056,3.8,8.7,8.0,Kerala,2 months,5.2
253,872401,165191,15955,5805,2568,YouTube,15 to 25,Others,8.4,Accessories,138213,8.6,3.8,3.0,Gujarat,1 year,5.0
254,663466,472257,8224,2291,1276,YouTube,35 to 45,Male,8.7,Clothing,145720,2.5,5.2,2.9,Punjab,2 months,3.9
255,479063,230556,23976,5850,4934,Facebook,25 to 35,Male,9.2,Accessories,84555,7.5,7.8,2.5,Rajasthan,6 months,5.6
256,683611,465353,4412,787,4805,Facebook,25 to 35,Female,9.0,Cosmetics,70228,7.6,9.2,7.7,Gujarat,1 month,6.7
257,886421,419387,31328,5745,180,Facebook,15 to 25,Male,7.9,Accessories,81606,1.5,4.7,3.5,Maharashtra,3 months,3.7
258,293276,155713,29787,595,1626,Instagram,5 to 15,Male,7.0,Cosmetics,59351,1.6,6.5,8.2,Sikkim,2 months,5.0
259,858603,96808,47895,2538,2345,Facebook,35 to 45,Others,6.3,Accessories,72245,5.5,5.0,2.8,Kerala,1 year,4.9
260,110483,211524,12318,1978,2215,Instagram,35 to 45,Female,8.5,Cosmetics,128324,2.1,5.1,1.4,Rajasthan,3 months,3.5
261,916007,445479,20910,9762,3598,Instagram,25 to 35,Male,9.8,Clothing,67838,7.6,6.4,8.5,Rajasthan,2 years,6.6
262,904107,332201,37793,8147,4543,YouTube,5 to 15,Male,6.9,Accessories,62874,3.3,4.8,1.0,Maharashtra,1 month,3.4
263,655782,172725,40744,7968,4883,Instagram,35 to 45,Others,6.8,Cosmetics,71629,2.2,1.6,1.4,Gujarat,2 years,2.9
264,57362,24858,33834,7774,52,YouTube,15 to 25,Others,6.0,Clothing,149667,4.9,2.6,6.7,Kerala,2 months,6.8
265,74927,405471,22059,9525,2613,Facebook,5 to 15,Male,6.2,Cosmetics,107068,7.7,8.1,1.8,Tamil Nadu,6 months,4.9
266,591865,469372,11791,6176,1248,Instagram,35 to 45,Female,9.8,Cosmetics,63559,6.6,3.5,7.8,Sikkim,3 months,5.6
267,427097,307337,13527,8322,1136,YouTube,5 to 15,Others,6.4,Cosmetics,79604,8.2,5.6,3.3,Gujarat,3 months,4.8
268,348446,59267,17324,3482,721,YouTube,15 to 25,Male,8.5,Accessories,89216,7.0,6.5,8.9,Tamil Nadu,2 years,6.8
269,760052,439557,15664,2957,1988,Facebook,35 to 45,Male,7.3,Clothing,114838,8.9,4.2,4.6,Tamil Nadu,2 years,5.1
270,748000,145868,42078,6294,2261,Instagram,15 to 25,Male,8.2,Cosmetics,54878,3.7,5.7,5.5,Gujarat,2 years,5.2
271,857521,34204,37838,6601,4230,YouTube,5 to 15,Others,7.7,Accessories,110647,8.2,4.0,6.2,Sikkim,6 months,7.4
272,610594,320988,1835,867,3574,Instagram,25 to 35,Female,5.8,Cosmetics,134898,6.1,1.7,1.4,Tamil Nadu,2 years,3.0
273,669000,108284,32219,5232,365,Instagram,25 to 35,Others,9.4,Accessories,104479,6.1,5.6,9.3,Punjab,1 month,6.7
274,799834,158178,47132,1545,474,YouTube,5 to 15,Female,5.3,Accessories,52445,2.6,4.8,1.3,Kerala,2 years,3.4
275,302076,141784,42278,4289,2041,Facebook,25 to 35,Others,6.5,Accessories,75400,6.2,6.1,4.9,Gujarat,2 years,5.3
276,102785,411451,30219,7501,4911,Facebook,5 to 15,Male,4.6,Clothing,89028,7.1,6.9,3.5,Gujarat,2 years,4.6
277,865663,297759,1189,9730,3380,YouTube,5 to 15,Female,2.2,Clothing,84585,7.9,2.9,9.2,Sikkim,2 years,4.4
278,112627,259638,44605,4891,3921,Instagram,15 to 25,Female,9.1,Accessories,96726,2.6,2.2,1.6,Kerala,1 month,3.4
279,540514,311248,24391,7482,2359,Facebook,5 to 15,Female,8.2,Clothing,84439,8.7,2.7,4.9,Punjab,1 year,5.1
280,843651,425265,49968,1903,4459,Instagram,5 to 15,Female,2.1,Clothing,109822,9.8,9.8,3.6,Gujarat,1 month,5.3
281,483896,154438,6698,872,2906,YouTube,5 to 15,Male,2.3,Clothing,102728,5.7,7.6,2.2,Gujarat,3 months,3.6
282,134565,129841,15632,2648,1405,Instagram,5 to 15,Male,2.0,Clothing,87126,2.7,7.0,1.0,Tamil Nadu,1 month,2.8
283,570116,48788,33533,1515,4428,Instagram,5 to 15,Male,3.8,Clothing,92356,1.1,6.4,9.1,Rajasthan,6 months,5.5
284,244654,466395,20202,8023,3568,YouTube,15 to 25,Others,9.4,Accessories,144127,5.3,6.7,9.2,Gujarat,2 months,6.2
285,559624,389849,45729,504,1485,YouTube,25 to 35,Others,7.4,Cosmetics,101142,9.0,7.3,8.1,Gujarat,1 month,6.6
286,275604,297483,16668,1286,2390,Instagram,35 to 45,Others,6.7,Clothing,52987,7.9,6.4,9.3,Rajasthan,2 years,6.2
287,382905,363837,11820,8630,2931,YouTube,35 to 45,Others,7.3,Cosmetics,62096,7.7,9.0,2.4,Gujarat,6 months,5.3
288,713499,80934,32112,9429,4622,Facebook,35 to 45,Female,7.1,Clothing,68634,8.5,4.7,5.3,Punjab,3 months,5.9
289,247730,190375,36247,5343,440,Facebook,15 to 25,Female,1.3,Clothing,79996,8.0,3.4,8.0,Kerala,1 year,4.5
290,811468,58901,21437,8980,2557,Instagram,15 to 25,Others,2.5,Cosmetics,54386,9.9,8.1,3.6,Maharashtra,1 month,5.5
291,116705,191099,35187,8749,2010,Facebook,25 to 35,Others,3.6,Accessories,100463,7.1,2.1,6.7,Kerala,1 year,4.3
292,252173,337872,24752,3880,2201,Facebook,15 to 25,Female,3.0,Clothing,72187,8.6,3.3,1.5,Sikkim,2 months,3.4
293,826523,478334,14612,5517,4557,YouTube,35 to 45,Others,9.3,Accessories,123171,1.4,8.3,6.7,Gujarat,2 months,5.2
294,245037,27205,1004,3561,3897,YouTube,25 to 35,Others,4.5,Accessories,75186,3.0,7.2,1.3,Rajasthan,2 years,3.3
295,355644,111489,11599,322,398,Instagram,15 to 25,Male,3.0,Cosmetics,88539,5.3,1.1,8.6,Kerala,2 months,3.8
296,265224,182481,18748,5872,1242,Instagram,5 to 15,Female,2.1,Clothing,109335,1.4,1.4,4.0,Maharashtra,2 years,2.0
297,663605,378777,45638,6297,3901,YouTube,5 to 15,Male,8.8,Cosmetics,95180,7.0,5.5,5.7,Tamil Nadu,2 years,5.6
298,122683,198349,3160,4228,172,Facebook,25 to 35,Others,6.4,Clothing,148665,8.3,3.7,8.5,Kerala,2 years,5.4
299,258466,310645,12569,3872,185,Facebook,35 to 45,Female,7.5,Clothing,125469,5.5,3.2,7.9,Kerala,1 month,4.9
300,345566,216651,6476,6961,807,Facebook,5 to 15,Others,7.1,Clothing,102041,3.7,3.7,3.9,Maharashtra,3 months,3.7
301,315149,227904,44917,4799,2526,YouTube,35 to 45,Others,8.0,Clothing,129058,2.4,3.3,7.0,Tamil Nadu,2 months,4.5
302,947015,433562,31496,6856,2377,YouTube,15 to 25,Others,4.9,Accessories,83156,3.7,7.9,5.4,Punjab,6 months,4.5
303,559635,13018,6973,6483,3122,YouTube,35 to 45,Male,5.3,Cosmetics,98007,8.7,8.2,4.7,Rajasthan,6 months,6.5
304,435484,335558,35789,1102,976,Facebook,15 to 25,Female,3.5,Cosmetics,76376,3.2,1.4,3.1,Rajasthan,2 months,2.5
305,936759,213127,19347,1178,292,YouTube,5 to 15,Others,2.7,Cosmetics,51059,9.5,1.9,9.2,Sikkim,3 months,4.8
306,83952,316247,3608,134,675,Facebook,35 to 45,Female,8.8,Accessories,67457,7.1,7.5,8.6,Gujarat,1 year,6.4
307,799096,377289,10160,6212,214,Instagram,15 to 25,Others,8.8,Clothing,97311,7.0,5.1,5.4,Tamil Nadu,1 year,5.3
308,813929,347805,31222,3711,552,Facebook,15 to 25,Male,2.2,Clothing,126495,1.9,1.3,8.4,Kerala,1 year,2.9
309,75624,21644,41635,4501,1444,Facebook,5 to 15,Male,7.1,Clothing,110073,9.3,9.2,2.4,Rajasthan,2 months,9.4
310,883206,276531,28630,4998,4076,Instagram,15 to 25,Others,8.2,Cosmetics,136878,8.1,7.6,7.2,Maharashtra,2 years,6.4
311,480520,381374,46573,3221,3556,Instagram,35 to 45,Male,9.9,Accessories,72487,6.7,1.2,1.7,Sikkim,1 year,4.1
312,754300,139791,13696,5603,1867,YouTube,15 to 25,Female,2.0,Cosmetics,124070,3.6,4.3,3.3,Maharashtra,6 months,2.8
313,519396,300742,4153,4905,2015,Instagram,25 to 35,Male,2.6,Cosmetics,75336,1.1,7.2,1.5,Kerala,1 year,2.5
314,403108,35171,3848,6667,3572,Facebook,5 to 15,Female,3.6,Accessories,107930,3.0,6.2,8.9,Punjab,6 months,4.6
315,456441,101119,15062,8933,2770,YouTube,15 to 25,Male,1.9,Accessories,144728,1.1,4.8,8.5,Gujarat,2 months,3.6
316,178649,139360,48680,8979,580,Instagram,5 to 15,Male,3.1,Cosmetics,139390,1.4,7.1,6.8,Sikkim,2 years,4.4
317,782613,428932,2961,4980,422,YouTube,35 to 45,Male,2.6,Cosmetics,71723,8.9,5.9,6.0,Sikkim,6 months,4.7
318,369545,185105,20502,8742,4247,Instagram,5 to 15,Female,4.7,Accessories,111534,5.6,7.3,2.7,Sikkim,2 years,4.3
319,582828,127033,3285,5031,1126,YouTube,5 to 15,Others,3.4,Clothing,130101,8.1,1.7,5.5,Maharashtra,1 month,3.8
320,563302,122582,13775,7867,478,Instagram,25 to 35,Female,5.3,Cosmetics,105155,4.5,4.9,5.8,Sikkim,6 months,4.3
321,931217,264989,12930,9788,3630,Facebook,15 to 25,Female,6.1,Accessories,129550,8.7,4.2,6.8,Sikkim,3 months,5.3
322,776828,451600,37754,6681,230,Facebook,35 to 45,Others,2.4,Accessories,96193,3.2,4.3,5.7,Tamil Nadu,2 months,3.3
323,546603,392430,19148,8744,1557,Instagram,35 to 45,Male,8.3,Accessories,123953,4.9,6.4,7.8,Tamil Nadu,2 years,5.6
324,380941,213453,49437,5031,1864,YouTube,5 to 15,Male,7.0,Clothing,128378,5.9,7.5,1.5,Punjab,1 month,4.8
325,479164,212629,24541,4184,3075,Facebook,25 to 35,Female,6.9,Accessories,147833,1.8,7.1,8.2,Gujarat,6 months,5.0
326,850669,155823,2590,9157,3018,YouTube,25 to 35,Others,4.7,Accessories,102281,5.9,7.3,4.8,Kerala,2 years,4.6
327,592907,378758,43814,3482,1644,YouTube,35 to 45,Male,3.0,Accessories,110332,6.8,7.1,4.8,Rajasthan,1 month,4.6
328,402255,60238,47613,8843,1652,Instagram,25 to 35,Female,9.6,Accessories,125580,5.5,6.2,2.5,Sikkim,6 months,6.3
329,587768,414103,25903,3330,4488,Instagram,15 to 25,Others,6.5,Cosmetics,127032,1.2,7.1,1.3,Maharashtra,2 months,3.3
330,56894,218088,9983,2779,274,Instagram,35 to 45,Others,6.3,Clothing,60306,2.3,2.3,6.2,Gujarat,1 year,3.5
331,468955,406620,21829,3945,1083,YouTube,35 to 45,Others,8.6,Clothing,138467,9.3,9.3,4.0,Tamil Nadu,3 months,6.3
332,875878,301845,40812,1895,1307,Instagram,25 to 35,Others,4.5,Accessories,97101,3.9,5.9,4.8,Maharashtra,1 year,4.1
333,560815,35346,29010,9303,2616,Instagram,25 to 35,Others,9.3,Accessories,66901,9.5,2.8,1.0,Maharashtra,2 months,6.2
334,402190,349032,49567,7488,1656,Instagram,5 to 15,Male,4.9,Clothing,73883,1.7,5.9,6.4,Tamil Nadu,6 months,4.1
335,547346,187909,23847,299,4699,Instagram,15 to 25,Others,6.2,Accessories,103214,5.7,4.3,6.8,Kerala,6 months,4.9
336,171366,319352,1961,3319,1234,Facebook,15 to 25,Male,3.4,Accessories,79873,3.0,9.5,6.1,Maharashtra,2 years,4.4
337,294775,416689,45619,1467,2410,Facebook,35 to 45,Male,3.2,Cosmetics,91172,9.1,5.0,8.9,Kerala,6 months,5.5
338,352735,80704,47783,5719,3946,YouTube,25 to 35,Male,6.0,Cosmetics,118062,5.1,1.0,4.9,Sikkim,3 months,4.6
339,713059,324928,24172,5814,984,Instagram,15 to 25,Male,4.4,Cosmetics,74275,2.2,6.7,5.2,Kerala,1 month,3.8
340,287944,424622,12512,2419,127,Facebook,5 to 15,Female,7.0,Accessories,106892,6.7,3.2,3.3,Tamil Nadu,2 months,4.1
341,373347,13685,43961,7981,673,YouTube,25 to 35,Male,7.5,Clothing,51411,9.2,9.1,4.8,Sikkim,1 year,12.5
342,557809,432836,32901,5215,4224,YouTube,25 to 35,Others,8.0,Cosmetics,79455,4.0,5.8,8.5,Sikkim,1 month,5.4
343,349776,477233,16411,5601,3202,Instagram,25 to 35,Others,5.9,Clothing,100466,8.3,9.4,8.1,Gujarat,1 month,6.4
344,367895,327486,1409,1300,169,YouTube,25 to 35,Female,2.8,Cosmetics,72916,8.8,4.0,4.2,Kerala,1 year,4.0
345,752927,14953,11016,4947,4937,Instagram,35 to 45,Male,7.6,Clothing,88811,5.2,4.8,6.6,Gujarat,3 months,6.3
346,738793,130416,10436,2717,2165,Facebook,35 to 45,Male,4.6,Clothing,131653,4.7,5.7,3.8,Kerala,2 years,3.9
347,995813,228788,43968,7454,2676,Facebook,5 to 15,Male,3.7,Clothing,124751,3.0,8.4,5.4,Maharashtra,2 years,4.5
348,142601,39129,40176,2216,1288,YouTube,35 to 45,Male,7.7,Clothing,115356,8.3,6.0,8.1,Kerala,3 months,8.1
349,287558,171899,49766,1328,3018,Facebook,25 to 35,Others,5.3,Accessories,141908,6.1,9.3,4.3,Rajasthan,1 month,5.6
350,169408,436723,42215,9610,1718,Instagram,25 to 35,Others,7.2,Clothing,56365,9.9,7.2,9.3,Sikkim,2 years,6.9
351,131628,171159,3433,5220,134,YouTube,25 to 35,Female,1.6,Cosmetics,63971,7.4,6.2,7.0,Kerala,6 months,4.5
352,71800,403548,20265,1443,2615,Facebook,5 to 15,Others,2.7,Cosmetics,69646,3.0,4.9,7.3,Gujarat,3 months,3.7
353,622807,491232,46632,4888,4104,YouTube,15 to 25,Male,8.8,Clothing,100026,7.8,2.3,1.7,Gujarat,1 month,4.3
354,967314,280780,41918,9945,1259,YouTube,15 to 25,Male,6.1,Cosmetics,108219,8.8,9.8,6.2,Sikkim,2 years,6.5
355,869203,229274,33171,3240,1183,Instagram,5 to 15,Male,8.6,Clothing,126734,1.4,9.0,9.3,Punjab,1 month,5.9
356,466369,146092,49014,1104,4229,Facebook,25 to 35,Others,5.0,Cosmetics,135927,3.2,3.2,3.4,Tamil Nadu,2 years,3.6
357,504178,306728,48356,784,2969,Facebook,25 to 35,Others,7.2,Accessories,72514,9.3,1.9,2.6,Maharashtra,6 months,4.5
358,844029,146027,44751,5875,2370,YouTube,5 to 15,Female,8.0,Clothing,114002,2.5,6.1,4.4,Maharashtra,2 months,4.8
359,646577,421707,2622,9068,4813,YouTube,15 to 25,Others,9.4,Accessories,114498,4.7,7.3,4.8,Gujarat,2 years,5.3
360,809842,21377,46956,1484,2460,Facebook,5 to 15,Female,4.6,Clothing,146071,7.0,9.5,1.2,Maharashtra,1 year,8.9
361,117891,423113,41099,2201,2308,YouTube,15 to 25,Female,5.8,Accessories,71569,5.7,6.6,1.7,Kerala,1 month,4.2
362,665802,138146,29778,2846,904,YouTube,35 to 45,Others,6.3,Cosmetics,67925,3.8,3.4,7.0,Maharashtra,2 years,4.5
363,796558,100852,4600,9090,3985,Facebook,35 to 45,Male,2.1,Cosmetics,50967,1.2,6.7,8.7,Rajasthan,2 months,3.8
364,101772,391510,44999,947,3835,Facebook,15 to 25,Male,7.0,Cosmetics,96738,2.4,3.4,2.3,Punjab,2 months,3.2
365,422149,52351,15579,2054,4764,YouTube,15 to 25,Others,2.2,Cosmetics,117722,6.5,1.7,6.6,Kerala,6 months,4.0
366,61795,453495,30774,2413,3118,Facebook,35 to 45,Female,2.3,Accessories,144918,1.3,8.0,4.3,Punjab,3 months,3.3
367,975379,142448,30146,6982,1356,YouTube,35 to 45,Male,8.9,Accessories,137306,3.1,1.2,8.7,Maharashtra,3 months,4.8
368,326722,59259,20827,5428,1271,YouTube,5 to 15,Male,2.8,Cosmetics,109857,2.3,7.8,1.2,Maharashtra,1 month,3.5
369,50416,16030,23847,8595,2028,Facebook,25 to 35,Female,3.0,Cosmetics,103183,9.7,1.8,3.8,Kerala,2 months,6.6
370,945781,141369,3729,6136,211,YouTube,25 to 35,Male,7.3,Accessories,55724,1.8,6.8,7.9,Kerala,3 months,4.8
371,624621,389948,34872,7035,2943,Instagram,15 to 25,Female,5.5,Cosmetics,97382,6.9,9.2,3.8,Tamil Nadu,2 months,5.3
372,804301,166374,4456,9992,2629,Facebook,35 to 45,Female,3.0,Accessories,112018,3.0,7.5,8.1,Sikkim,1 year,4.4
373,233053,405892,14429,7861,983,YouTube,35 to 45,Female,3.7,Accessories,142619,8.8,8.8,7.9,Gujarat,6 months,5.9
374,187545,408032,37094,9426,637,YouTube,25 to 35,Male,2.1,Clothing,107926,5.6,1.1,2.6,Maharashtra,1 month,2.5
375,271354,237704,30339,9915,2993,YouTube,35 to 45,Others,5.1,Clothing,109889,4.9,5.5,9.0,Tamil Nadu,1 month,5.2
376,170728,277777,40791,1400,4951,Facebook,25 to 35,Male,1.2,Cosmetics,58519,3.6,3.6,7.7,Punjab,2 months,3.5
377,397021,206870,22219,5348,2536,YouTube,5 to 15,Female,6.7,Accessories,132017,6.8,9.4,3.5,Maharashtra,1 month,5.5
378,281284,59561,8450,7526,2396,YouTube,35 to 45,Female,7.9,Clothing,55498,7.8,4.7,4.2,Gujarat,3 months,5.2
379,763190,376596,22891,3473,1956,YouTube,5 to 15,Others,6.8,Cosmetics,50911,3.9,4.9,1.7,Tamil Nadu,1 year,3.6
380,871424,236336,27278,4089,3682,Facebook,5 to 15,Male,7.6,Cosmetics,54843,2.4,9.2,5.8,Kerala,3 months,5.2
381,864899,395541,24053,1474,3712,YouTube,25 to 35,Female,6.7,Accessories,129353,2.2,9.2,5.4,Tamil Nadu,1 month,4.8
382,461361,19494,6508,4394,2717,YouTube,35 to 45,Male,3.3,Accessories,82088,2.0,2.7,7.0,Rajasthan,2 years,3.7
383,290791,497509,22231,9948,3575,Facebook,15 to 25,Female,5.0,Clothing,104903,3.4,5.3,5.6,Maharashtra,1 month,3.9
384,858082,180352,23076,639,639,Facebook,15 to 25,Others,6.0,Clothing,53068,5.5,6.7,6.7,Kerala,1 year,5.2
385,221385,221814,21288,3694,2719,Facebook,15 to 25,Others,5.9,Clothing,131452,4.7,3.3,3.3,Sikkim,2 years,3.6
386,184711,390471,40802,1487,2963,Facebook,25 to 35,Male,3.5,Clothing,111122,4.7,8.3,3.1,Gujarat,1 month,4.1
387,421312,440844,24669,6394,1738,YouTube,35 to 45,Others,7.0,Cosmetics,149237,3.9,6.9,6.9,Gujarat,1 month,5.1
388,278238,424257,41290,9419,3119,Instagram,5 to 15,Male,4.7,Cosmetics,50406,6.4,4.7,9.6,Tamil Nadu,1 year,5.3
389,460293,256109,17207,6417,1120,Instagram,15 to 25,Female,7.9,Accessories,65533,5.6,5.7,8.3,Gujarat,2 years,5.6
390,844053,200987,15130,7420,1952,Instagram,5 to 15,Male,1.5,Accessories,106014,4.7,3.9,6.1,Gujarat,2 months,3.4
391,446429,216507,24022,5303,655,Instagram,25 to 35,Male,6.8,Accessories,95399,4.6,2.5,5.8,Gujarat,1 year,4.2
392,386429,498084,48625,8770,1158,Instagram,5 to 15,Others,3.0,Accessories,121289,4.7,5.7,9.4,Kerala,6 months,4.8
393,229609,169623,6134,8369,742,YouTube,5 to 15,Others,2.0,Accessories,147208,2.8,1.9,2.1,Rajasthan,6 months,1.8
394,526513,292811,24255,5567,4986,YouTube,25 to 35,Female,2.1,Clothing,108707,6.6,4.4,2.9,Maharashtra,6 months,3.4
395,409123,492794,37374,3786,896,Facebook,5 to 15,Male,1.6,Cosmetics,117679,5.4,9.5,2.1,Punjab,6 months,3.9
